,OPR,RPR,TS,co,local,total,year,OPR_P,RPR_P,ETC_P
2,2603443,1181936,63.0,17,경기,5017407,2007,0.5188821636355193,0.2355670967095155,0.2455507396549652
3,376004,136668,63.0,17,강원,723503,2007,0.5196992963401672,0.18889762723858783,0.29140307642124497
4,246008,159700,63.0,17,대전,677948,2007,0.36287148866874747,0.23556378955318108,0.40156472177807145
5,313693,192999,63.0,17,충남,915505,2007,0.3426447698264892,0.21081151932539965,0.4465437108481112
6,289499,165637,63.0,17,충북,696096,2007,0.41588947501494045,0.2379513745230543,0.3461591504620053
7,56875,527588,63.0,17,광주,661552,2007,0.08597207778073379,0.7975004232471522,0.11652749897211401
8,88834,757309,63.0,17,전남,962851,2007,0.09226141947196399,0.7865277182035434,0.12121086232449263
9,86149,777236,63.0,17,전북,952352,2007,0.09045919995967877,0.8161226101273479,0.09341818991297335
10,1018715,236708,63.0,17,부산,1759252,2007,0.5790614420219502,0.13455036572361437,0.28638819225443546
11,279891,70736,63.0,17,울산,518586,2007,0.5397195450706344,0.13640167686748195,0.3238787780618837
12,876719,75932,63.0,17,대구,1263678,2007,0.6937835429595197,0.06008809206142704,0.24612836497905322
13,843662,189463,63.0,17,경남,1533330,2007,0.5502155439468347,0.12356309470237979,0.3262213613507855
14,1033957,96822,63.0,17,경북,1424472,2007,0.7258528072155859,0.06797044799757383,0.20617674478684034
15,96495,81570,63.0,17,제주,249522,2007,0.38671940750715367,0.3269050424411475,0.2863755500516989
0,2447376,2792957,70.8,16,서울,5443990,2002,0.4495555649440943,0.5130349247518824,0.037409510304023286
1,547205,611786,70.8,16,인천,1227816,2002,0.4456734559575702,0.49827172801136327,0.056054816031066546
2,2120191,2430193,70.8,16,경기,4798006,2002,0.4418900268153062,0.5065006171313666,0.05160935605332717
3,400405,316004,70.8,16,강원,762937,2002,0.5248205290869364,0.41419409466312423,0.06098537624993927
4,266760,369046,70.8,16,대전,669846,2002,0.39824078967404447,0.5509415597017822,0.050817650624173316
5,375110,474531,70.8,16,충남,909818,2002,0.41229124945868295,0.5215669507527879,0.06614179978852919
6,311044,365623,70.8,16,충북,725162,2002,0.4289303631464418,0.5041949247202694,0.06687471213328888
7,26869,715181,70.8,16,광주,751416,2002,0.035757822564331875,0.9517777103495267,0.012464467086141351
8,53074,1070506,70.8,16,전남,1146320,2002,0.04629946262823644,0.9338631446716449,0.01983739270011864
9,65334,966053,70.8,16,전북,1054800,2002,0.06193970420932878,0.9158636708380735,0.022196624952597666
10,1314274,587946,70.8,16,부산,1969073,2002,0.6674582405020028,0.29859025033607184,0.03395150916192535
11,267737,178584,70.8,16,울산,506322,2002,0.5287880044714628,0.3527083555523955,0.11850363997614166
12,1083564,434642,70.8,16,경남,1604744,2002,0.675225456521414,0.2708481851310863,0.0539263583474997
13,1002164,240745,70.8,16,대구,1288909,2002,0.7775289023507478,0.18678199934983772,0.03568909829941447
14,1056446,311358,70.8,16,경북,1437938,2002,0.7346950981196686,0.2165308935433934,0.04877400833693801
15,105744,148423,70.8,16,제주,268227,2002,0.3942332427384268,0.55334846976628,0.0524182874952932
0,2627308,2394309,80.7,15,서울,5854773,1997,0.44874634763807236,0.40894992854547907,0.14230372381644862
1,497839,470560,80.7,15,인천,1292611,1997,0.3851421657405051,0.36403836885188195,0.250819465407613
2,1781577,1612108,80.7,15,경기,4535524,1997,0.3928051091781236,0.3554402975268128,0.25175459329506356
3,197438,358921,80.7,15,강원,830943,1997,0.23760715235581742,0.43194418871089835,0.33044865893328423
4,307493,199266,80.7,15,대전,682893,1997,0.4502799120799305,0.2917968115063414,0.25792327641372803
5,483093,235457,80.7,15,충남,1001198,1997,0.4825149470933821,0.23517526003847392,0.28230979286814395
6,295666,243310,80.7,15,충북,789816,1997,0.3743479493958086,0.30805909224426953,0.31759295835992185
7,754159,13294,80.7,15,광주,775199,1997,0.972858582118914,0.017149144929237525,0.009992272951848458
8,1231726,41534,80.7,15,전남,1301836,1997,0.9461452901901622,0.03190417226132938,0.021950537548508398
9,1078957,53124,80.7,15,전북,1169189,1997,0.9228251377664347,0.04543662316357749,0.03173823906998785
10,320178,1117069,80.7,15,부산,2094406,1997,0.15287293867569135,0.5333583841910308,0.31376867713327794
11,80751,268998,80.7,15,울산,523763,1997,0.15417469351596047,0.5135872522495861,0.3322380542344534
12,166576,965907,80.7,15,대구,1329088,1997,0.12533105407617856,0.7267442035440843,0.14792474237973718
13,182102,908808,80.7,15,경남,1648014,1997,0.11049784771245875,0.5514564803454339,0.33804567194210733
14,210403,953360,80.7,15,경북,1539608,1997,0.13666011088536822,0.6192225553517519,0.24411733376287992
15,111009,100103,80.7,15,제주,273577,1997,0.40576875980071425,0.3659042975103901,0.22832694268889564
0,2246636,2167298,81.9,14,서울,5951777,1992,0.37747314793548215,0.36414301140650934,0.25838384065800857
1,338538,397361,81.9,14,인천,1066288,1992,0.31749208469006496,0.3726582311720661,0.30984968413786895
2,1103498,1254025,81.9,14,경기,3451395,1992,0.3197252125589798,0.3633385920765372,0.31693619536448303
3,127265,340528,81.9,14,강원,820255,1992,0.1551529707225192,0.41514894758337345,0.4296980816941074
4,165067,202137,81.9,14,대전,574403,1992,0.2873714099682627,0.3519079809819935,0.3607206090497438
5,271921,351789,81.9,14,충남,952454,1992,0.2854951525218016,0.36935012084573116,0.34515472663246727
6,191743,281678,81.9,14,충북,736171,1992,0.26045986598222426,0.3826257758048062,0.35691435821296946
7,652337,14504,81.9,14,광주,680600,1992,0.9584734058183956,0.021310608286805758,0.02021598589479867
8,1170398,53360,81.9,14,전남,1270023,1992,0.9215565387398496,0.042014987130154335,0.03642847412999606
9,991483,63175,81.9,14,전북,1112350,1992,0.8913408549467344,0.05679417449543759,0.051864970557828016
10,265055,1551473,81.9,14,부산,2115389,1992,0.12529846756317634,0.7334220798160528,0.1412794526207709
11,193373,1514043,81.9,14,경남,2093590,1992,0.09236431201906772,0.72318027885116,0.18445540912977232
12,90641,690245,81.9,14,대구,1158193,1992,0.07826070439037362,0.5959671660940793,0.3257721295155471
13,147440,991424,81.9,14,경북,1531637,1992,0.09626301793440613,0.6472969770252351,0.2564400050403587
14,85889,104292,81.9,14,제주,260884,1992,0.32922294966345195,0.3997638797319882,0.27101317060455987
0,1637347,1682824,89.2,13,서울,5618729,1987,0.29140878657788977,0.2995026099318903,0.4090886034902199
1,248604,326186,89.2,13,인천,828860,1987,0.2999348502762831,0.39353569963564417,0.30652945008807275
2,800274,1204235,89.2,13,경기,2905323,1987,0.2754509567438801,0.41449263988892115,0.31005640336719875
3,240585,546569,89.2,13,강원,921214,1987,0.26116081605359887,0.5933138228468087,0.14552536109959247
4,246527,402491,89.2,13,충남,1534906,1987,0.16061374442474002,0.2622251786102862,0.5771610769649738
5,213851,355222,89.2,13,충북,757457,1987,0.2823275776710757,0.4689665551971927,0.2487058671317316
6,2471,22943,89.2,13,광주,476153,1987,0.005189508414312207,0.04818409208804733,0.9466263994976405
7,16826,119229,89.2,13,전남,1459870,1987,0.011525683793762459,0.0816709707028708,0.9068033455033667
8,17130,160760,89.2,13,전북,1136975,1987,0.015066294333648497,0.14139273071087755,0.843540974955474
9,111701,640622,89.2,13,부산,1995317,1987,0.05598158087161088,0.3210627684723781,0.622955650656011
10,987042,792757,89.2,13,경남,1925412,1987,0.5126393727680102,0.4117336964763905,0.07562693075559923
11,274880,800363,89.2,13,대구,1132078,1987,0.2428101243907222,0.7069857377318524,0.05020413787742539
12,470189,1108035,89.2,13,경북,1669019,1987,0.2817157863391609,0.663883994130684,0.05440021953015517
13,64844,120502,89.2,13,제주,242098,1987,0.2678419483019273,0.4977405843914448,0.23441746730662794
